game_id,nba_game_id,game_date,season,season_type,home_score,away_score,home_team_id,away_team_id,home_team,away_team,home_avg_points,home_off_rating,home_def_rating,home_pace,home_fg_pct,home_fg3_pct,home_3pt_rate,home_win_pct,home_home_avg_pts,home_home_avg_pts_allowed,away_avg_points,away_off_rating,away_def_rating,away_pace,away_fg_pct,away_fg3_pct,away_3pt_rate,away_win_pct,away_away_avg_pts,away_away_avg_pts_allowed,pace_differential,home_rest_days,away_rest_days,rest_advantage,home_back_to_back,away_back_to_back,h2h_home_avg_score,h2h_away_avg_score,h2h_home_win_pct,h2h_games_count
3558,0022300050,2023-11-24,2023-24,Regular Season,111,124,14,22,MIN,SAC,116.1,115.81,108.25,99.2,0.5076,0.3559,1.0,0.8,117.6,,113.2,112.83,115.26,99.33,0.4694,0.3471,1.0,0.6,110.57,,0.13,2,2,0,0,0,116.1,113.2,0.5,0
3562,0022300046,2023-11-24,2023-24,Regular Season,121,108,25,5,TOR,CHI,115.2,112.55,115.66,100.93,0.4773,0.3462,1.0,0.4,117.5,,106.9,109.43,113.9,96.52,0.4399,0.3579,1.0,0.3,104.0,,4.41,5,2,3,0,0,115.2,106.9,0.5,0
3554,0022300243,2023-11-25,2023-24,Regular Season,105,100,26,4,UTA,NOP,115.0,112.09,121.36,100.65,0.4573,0.3553,1.0,0.2,123.25,,117.0,115.71,112.72,101.45,0.491,0.3894,1.0,0.6,108.5,,0.8,6,1,5,0,1,115.0,117.0,0.5,0
3553,0022300239,2023-11-25,2023-24,Regular Season,123,127,24,19,OKC,PHI,123.3,121.46,107.1,100.75,0.517,0.4266,1.0,0.8,126.4,,120.1,118.66,114.52,100.28,0.4653,0.346,1.0,0.6,115.0,,0.47,3,3,0,0,0,123.3,120.1,0.5,0
3552,0022300241,2023-11-25,2023-24,Regular Season,108,136,28,1,WAS,ATL,116.5,113.67,120.6,102.55,0.4795,0.3645,1.0,0.1,115.5,,125.4,120.4,120.02,103.06,0.4829,0.3697,1.0,0.5,121.5,,0.51,5,3,2,0,0,116.5,125.4,0.5,0
3557,0022300240,2023-11-25,2023-24,Regular Season,112,97,15,12,BKN,MIA,114.0,114.51,117.01,98.31,0.4568,0.3797,1.0,0.4,110.67,,112.6,116.43,108.69,96.75,0.4691,0.3767,1.0,0.8,112.0,,1.56,6,1,5,0,1,115.0,122.0,0.0,1
3556,0022300244,2023-11-25,2023-24,Regular Season,107,88,10,6,LAC,DAL,109.5,109.56,112.6,98.57,0.4542,0.3408,1.0,0.3,104.33,,121.9,119.22,118.59,102.05,0.476,0.3703,1.0,0.6,120.33,,3.48,1,3,-2,1,0,109.5,121.9,0.5,0
3555,0022300242,2023-11-25,2023-24,Regular Season,115,121,3,11,CLE,LAL,114.5,114.43,114.89,99.03,0.5027,0.368,1.0,0.6,110.0,,112.7,112.76,110.12,99.9,0.5039,0.363,1.0,0.6,107.5,,0.87,3,8,-5,0,0,114.5,112.7,0.5,0
3547,0022300247,2023-11-26,2023-24,Regular Season,113,116,16,20,NYK,PHX,112.7,117.98,111.66,95.8,0.4588,0.3847,1.0,0.7,116.5,,121.1,122.47,115.35,96.22,0.4894,0.4145,1.0,0.8,123.4,,0.42,2,2,0,0,0,112.7,121.1,0.5,0
3544,0022300252,2023-11-26,2023-24,Regular Season,132,120,7,23,DEN,SAS,111.1,114.38,113.51,97.25,0.4737,0.356,1.0,0.5,119.0,,106.7,103.89,120.15,102.85,0.44,0.3257,1.0,0.0,103.75,,5.6,3,2,1,0,0,111.1,106.7,0.5,0
